sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.0,False,O4,True,2.391654643720554e-16,4.2149853429960006e-12,2.391654643720554e-16,2.5256048732552217e-15,2.2642256716605775e-16,3.0445910493983956e-12,1.1321128358302887e-16,1.6981692537454332e-15,2.1900201808092406e-16,3.998697997801986e-12,0.0,1.609548711189675e-15,2.0490308144984482e-16,1.035035521885795e-16
0.0,False,O6,True,2.427842058942798e-13,1.1102230246251565e-16,4.368669689606373e-11,8.400361489980555e-16,2.1764252857333804e-13,0.0,2.6640752040202137e-11,3.4382705935756405e-16,1.9907656957607407e-13,1.3753905496136116e-16,3.988889755408894e-11,3.703352391922302e-16,4.3992900723627586e-11,2.1230728961850612e-11
0.0,True,O5,True,0.05811068410665662,0.06999164441029648,0.013787034214328179,3.510833468576701e-16,0.006882307910722231,0.0063329287644116215,0.0013986202413228583,1.3001857034212838e-16,0.009098555204058651,0.009591260912774568,0.001833927509212619,4.15816638329647e-16,0.3108534794073189,0.3108534794073189
0.0,True,O5,True,0.11620373078351685,0.03857860330188424,0.008073332469215854,1.079445702105406e-14,0.02475292018048687,0.007028587528477895,0.0013422007548977502,7.538915175579749e-15,0.05127122513412709,0.0122928134350011,0.002542091929616027,8.790823260359826e-15,0.315492335390708,0.315492335390708
0.0,True,O5,True,0.06232904862279738,0.028855721592997565,0.005969804467220685,2.220446049250313e-16,0.05876563712437203,0.009260533493972435,0.0017134521517109004,0.0,0.06038337706984594,0.020775070382725514,0.0036406051668602516,0.0,0.31435024588542976,0.31435024588542976
0.0,True,O5,True,0.10317282697448642,0.011910768700181104,0.0031339269458633863,4.453364592678439e-15,0.003017382738067904,0.0016530783880691709,0.0002627656477907279,1.0327272367628172e-15,0.06496997555565069,0.0022130531563849263,0.0004332874895820288,1.4213182694868538e-15,0.31663821504770967,0.31663821504770967
0.0,True,O5,True,0.16467760668044146,0.048179878131237926,0.007745424180036827,5.28085841456928e-16,0.015213312373832642,0.008350091679089941,0.001702196461838948,9.174199385481364e-16,0.015257825014161562,0.03645780942303928,0.006499306818771403,9.265897570927156e-16,0.3150094042421864,0.3150094042421864
0.0,True,O5,True,0.12764027055975893,0.022527680401891792,0.004179955206041808,9.678797148857333e-12,0.07560603422686814,0.0054630235188887965,0.0007307920916150234,4.531232291691486e-12,0.10952544199033237,0.014389205911103797,0.002453321566270153,3.981274568429195e-12,0.3159260997080693,0.3159260997080693
0.0,True,O5,True,0.20763316923533948,0.12376797770782652,0.02261283268608716,3.925231146709438e-17,0.01678908853737765,0.00037138915963229346,0.00043486172706516516,0.0,0.019355218919519877,0.0092353889929281,0.002657048922501699,6.156350832564111e-18,0.31062196299276074,0.31062196299276074
0.0,True,O5,True,0.11332836019336777,0.06311295952689666,0.01011850050980258,1.7199501139797033e-15,0.07009028363738926,0.001497104811106531,7.865716362128545e-05,1.4327668924764076e-16,0.08262132380006555,0.01422209952169253,0.0018412382947028902,5.141706811204652e-16,0.31505036346557186,0.31505036346557186
0.0,True,O5,True,0.22798755007689353,0.05230454303466399,0.009150815565676457,6.512981696685438e-14,0.39568337938597514,0.031659297076729175,0.0054753208115473915,1.0521273685292752e-13,0.4228538215103468,0.028886695659924813,0.0056217935043128345,9.787724502072432e-14,0.31502671918585906,0.31502671918585906
0.0,True,O5,True,0.1036732104982618,0.030492573388105966,0.006143451521427253,0.0,0.08628411320100732,0.00921333878132511,0.0017078376605221331,0.0,0.09821629406105481,0.016344725665090123,0.0032209703934061996,0.0,0.3144732834674802,0.3144732834674802
