phi,z
4.790928796724434946e+00,1.122716283452739744e-01
4.799655442984406051e+00,1.106392807179972931e-01
4.808382089244378044e+00,1.090072400306504874e-01
4.817108735504349148e+00,1.073722857523675134e-01
4.825835381764321141e+00,1.057373873928442592e-01
4.834562028024293134e+00,1.041029613372851381e-01
4.843288674284264239e+00,1.024689904620964404e-01
4.852015320544236232e+00,1.008318405099205700e-01
4.860741966804208225e+00,9.919533547167189158e-02
4.869468613064179330e+00,9.755955091076334851e-02
4.878195259324151323e+00,9.592278750435323520e-02
4.886921905584122428e+00,9.428453824414594064e-02
4.895648551844094420e+00,9.268446576428686356e-02
4.904375198104066413e+00,9.120730363579926392e-02
4.913101844364037518e+00,8.986585157983238703e-02
4.921828490624009511e+00,8.866678137238853674e-02
4.930555136883980616e+00,8.761832353724367806e-02
4.939281783143952609e+00,8.672801751087648447e-02
4.948008429403924602e+00,8.600241166496717937e-02
4.956735075663895707e+00,8.544898177810843209e-02
4.965461721923867700e+00,8.507107604509878129e-02
4.974188368183838804e+00,8.487496699267446654e-02
4.982915014443810797e+00,8.484892546540032110e-02
4.991641660703782790e+00,8.487398518719917184e-02
5.000368306963753895e+00,8.493085758497333215e-02
5.009094953223725888e+00,8.501546803053802726e-02
5.017821599483697881e+00,8.512940300367809188e-02
5.026548245743668986e+00,8.527344526259132695e-02
5.035274892003640979e+00,8.544395113360643557e-02
5.044001538263612083e+00,8.564601884495272321e-02
5.052728184523584076e+00,8.584085021611440047e-02
5.061454830783556069e+00,8.600361279535286008e-02
5.070181477043527174e+00,8.613430062776283869e-02
